variant,source,transform,sequence_count,test,pass_proportion,uniformity_p_value,eligible_sequences,subtest_rows
mls_raw,mls,raw,8,Rank,0.0,,8,1
mls_raw,mls,raw,8,Runs,1.0,,8,1
mls_raw,mls,raw,8,Serial,1.0,,8,2
mls_raw,mls,raw,8,Universal,1.0,,8,1
mls_vn,mls,vn,2,ApproximateEntropy,1.0,,2,1
mls_vn,mls,vn,2,BlockFrequency,1.0,,2,1
mls_vn,mls,vn,2,CumulativeSums,1.0,,2,2
mls_vn,mls,vn,2,FFT,1.0,,2,1
mls_vn,mls,vn,2,Frequency,1.0,,2,1
mls_vn,mls,vn,2,LinearComplexity,1.0,,2,1
mls_vn,mls,vn,2,LongestRun,1.0,,2,1
mls_vn,mls,vn,2,NonOverlappingTemplate,0.5,,2,148
mls_vn,mls,vn,2,OverlappingTemplate,1.0,,2,1
mls_vn,mls,vn,2,RandomExcursions,1.0,,1,8
mls_vn,mls,vn,2,RandomExcursionsVariant,1.0,,1,18
mls_vn,mls,vn,2,Rank,1.0,,2,1
mls_vn,mls,vn,2,Runs,1.0,,2,1
mls_vn,mls,vn,2,Serial,1.0,,2,2
mls_vn,mls,vn,2,Universal,1.0,,2,1
mls_xor,mls,xor,8,ApproximateEntropy,1.0,,8,1
mls_xor,mls,xor,8,BlockFrequency,1.0,,8,1
mls_xor,mls,xor,8,CumulativeSums,1.0,,8,2
mls_xor,mls,xor,8,FFT,1.0,,8,1
mls_xor,mls,xor,8,Frequency,1.0,,8,1
mls_xor,mls,xor,8,LinearComplexity,0.0,,8,1
mls_xor,mls,xor,8,LongestRun,1.0,,8,1
mls_xor,mls,xor,8,NonOverlappingTemplate,0.75,,8,148
mls_xor,mls,xor,8,OverlappingTemplate,1.0,,8,1
mls_xor,mls,xor,8,RandomExcursions,1.0,,4,8
mls_xor,mls,xor,8,RandomExcursionsVariant,1.0,,4,18
mls_xor,mls,xor,8,Rank,0.0,,8,1
mls_xor,mls,xor,8,Runs,1.0,,8,1
mls_xor,mls,xor,8,Serial,1.0,,8,2
mls_xor,mls,xor,8,Universal,1.0,,8,1
pycryptodome_raw,pycryptodome,raw,8,ApproximateEntropy,1.0,,8,1
pycryptodome_raw,pycryptodome,raw,8,BlockFrequency,0.875,,8,1
pycryptodome_raw,pycryptodome,raw,8,CumulativeSums,1.0,,8,2
pycryptodome_raw,pycryptodome,raw,8,FFT,1.0,,8,1
pycryptodome_raw,pycryptodome,raw,8,Frequency,1.0,,8,1
pycryptodome_raw,pycryptodome,raw,8,LinearComplexity,0.875,,8,1
pycryptodome_raw,pycryptodome,raw,8,LongestRun,1.0,,8,1
pycryptodome_raw,pycryptodome,raw,8,NonOverlappingTemplate,0.75,,8,148
pycryptodome_raw,pycryptodome,raw,8,OverlappingTemplate,0.875,,8,1
pycryptodome_raw,pycryptodome,raw,8,RandomExcursions,1.0,,4,8
pycryptodome_raw,pycryptodome,raw,8,RandomExcursionsVariant,0.75,,4,18
pycryptodome_raw,pycryptodome,raw,8,Rank,1.0,,8,1
pycryptodome_raw,pycryptodome,raw,8,Runs,1.0,,8,1
pycryptodome_raw,pycryptodome,raw,8,Serial,1.0,,8,2
pycryptodome_raw,pycryptodome,raw,8,Universal,1.0,,8,1
pycryptodome_vn,pycryptodome,vn,2,ApproximateEntropy,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,BlockFrequency,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,CumulativeSums,1.0,,2,2
pycryptodome_vn,pycryptodome,vn,2,FFT,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,Frequency,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,LinearComplexity,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,LongestRun,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,NonOverlappingTemplate,0.5,,2,148
pycryptodome_vn,pycryptodome,vn,2,OverlappingTemplate,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,RandomExcursions,1.0,,2,8
pycryptodome_vn,pycryptodome,vn,2,RandomExcursionsVariant,1.0,,2,18
pycryptodome_vn,pycryptodome,vn,2,Rank,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,Runs,1.0,,2,1
pycryptodome_vn,pycryptodome,vn,2,Serial,1.0,,2,2
pycryptodome_vn,pycryptodome,vn,2,Universal,0.5,,2,1
pycryptodome_xor,pycryptodome,xor,8,ApproximateEntropy,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,BlockFrequency,0.875,,8,1
pycryptodome_xor,pycryptodome,xor,8,CumulativeSums,1.0,,8,2
pycryptodome_xor,pycryptodome,xor,8,FFT,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,Frequency,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,LinearComplexity,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,LongestRun,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,NonOverlappingTemplate,0.875,,8,148
pycryptodome_xor,pycryptodome,xor,8,OverlappingTemplate,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,RandomExcursions,1.0,,6,8
pycryptodome_xor,pycryptodome,xor,8,RandomExcursionsVariant,1.0,,6,18
pycryptodome_xor,pycryptodome,xor,8,Rank,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,Runs,1.0,,8,1
pycryptodome_xor,pycryptodome,xor,8,Serial,1.0,,8,2
pycryptodome_xor,pycryptodome,xor,8,Universal,1.0,,8,1
pynacl_raw,pynacl,raw,8,ApproximateEntropy,1.0,,8,1
pynacl_raw,pynacl,raw,8,BlockFrequency,1.0,,8,1
pynacl_raw,pynacl,raw,8,CumulativeSums,1.0,,8,2
pynacl_raw,pynacl,raw,8,FFT,1.0,,8,1
pynacl_raw,pynacl,raw,8,Frequency,1.0,,8,1
pynacl_raw,pynacl,raw,8,LinearComplexity,1.0,,8,1
pynacl_raw,pynacl,raw,8,LongestRun,0.875,,8,1
pynacl_raw,pynacl,raw,8,NonOverlappingTemplate,0.875,,8,148
pynacl_raw,pynacl,raw,8,OverlappingTemplate,1.0,,8,1
pynacl_raw,pynacl,raw,8,RandomExcursions,0.75,,4,8
pynacl_raw,pynacl,raw,8,RandomExcursionsVariant,1.0,,4,18
pynacl_raw,pynacl,raw,8,Rank,1.0,,8,1
pynacl_raw,pynacl,raw,8,Runs,1.0,,8,1
pynacl_raw,pynacl,raw,8,Serial,1.0,,8,2
pynacl_raw,pynacl,raw,8,Universal,1.0,,8,1
pynacl_vn,pynacl,vn,2,ApproximateEntropy,1.0,,2,1
